handle,public_url,title,city_guess,quote_post_count,buy_sell_pair_count,parseability_score,likely_individual_shop,has_phone,has_address,has_map_link,has_shop_name,commentary_heavy,status,discovery_queries,last_seen_text_sample
sarafialaddin,https://t.me/s/sarafialaddin,صرافى علاءالدین Sarafi Aladdin,unknown,14,7,100,False,False,False,False,True,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"مشتریان گرامی صرافی علاءالدین: 💵 خرید (انتقال به ایران): 112,000 (برای مبالغ بالای 10 هزار دلار) 💵 خرید (انتقال به ایران): 110,000 (برای مبالغ بیشتر از 3 هزار دلار) 💵 خرید (انتقال به ایران): 108,000 (برای مبالغ کمتر از 3 هزار دلار) 💵 فروش (انتقال به استرالیا):"
coinofsalari,https://t.me/s/coinofsalari,سکه صراف ميرسالاری,unknown,6,6,91,False,False,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"نرخ انواع سکه تاریخ: ۱۴۰۵/۰۳/۱۷ زمان: ۱۱:۰۲ ✨ تمام سکه امامی (EMA) ◽️ خرید: 181,000,000 ◽️ فروش: 183,000,000 ◽️ تغییر: 1,000,000 ✨ تمام بهار آزادی (TMA) ◽️ خرید: 176,000,000 ◽️ فروش: 178,000,000 ◽️ تغییر: 1,000,000 ✨ نیم بهار آزادی (NIM) ◽️ خرید: 92,000,000 ◽️"
dhsusdt,https://t.me/s/dhsusdt,DHs usdt,unknown,6,6,86,False,False,False,False,False,False,ok,channel_survey_rescore|previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,دلار ۴۹.۴۰۰ 🔴 تتر فروش ۴۹.۵۰۰ تتر خرید ۴۹.۱۰۰ 🔴 درهم فروش ۱۳.۷۰۰ درهم خرید ۱۳.۶۰۰ 🔴
economicprivategroup,https://t.me/s/economicprivategroup,گروه اختصاصي اكونوميك,unknown,18,0,65,False,False,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"🔴 سبزه 🇮🇷 فردایی ⏳ 24,990 فروش @EconomicPrivateGroup"
hemopay,https://t.me/s/hemopay,hemopay تتر,unknown,17,0,65,False,False,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"💵 قیمت تتر: 54200 تومان ⏰ تاریخ: 1402/10/29 23:30 📊 روند: کاهشی 🔼 بالاترین قیمت: 54331 تومان 🔽 کمترین قیمت: 53663 تومان 💶 دلار سبزه فردایی: 53,78 تومان"
ireuropecom,https://t.me/s/ireuropecom,صرافی ایران اروپا | IRX,unknown,20,0,65,False,False,False,False,True,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"🗓 نرخ حواله ارزی ۴ خرداد ۱۴۰۵ (بازار آزاد) 🇺🇸 حواله دلار آمریکا = (176,400) تومان 🇪🇺 حواله یورو = (205,250) تومان 🇨🇦 حواله دلار کانادا = (127,650) تومان 🇬🇧 حواله پوند = (237,750) تومان 🇦🇺 حواله دلار استرالیا = (126,300) تومان 🇦🇪 حواله درهم = (47,800) تومان 🇨🇳 "
niknooran,https://t.me/s/niknooran,صنایع روشنایی نیک نوران,unknown,14,0,65,False,True,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,زنبق کریستالی مدل NIKZ09 #قطعات_کریستالی 65000-200000تومان موجود کسب اطلاعات بیشتر فروشگاه نیک نوران لاله زار 33116403
nobitexprices,https://t.me/s/nobitexprices,قیمت لحظه‌ای نوبیتکس,unknown,20,0,65,False,False,False,False,False,True,ok,site:t.me/s قیمت لحظه ای دلار صرافی,"🟢 بیت‌کوین: ۶۳٬۹۶۹ دلار 🔴 تتر: ۱۷۳٬۴۰۱ تومان 🟢 انس طلا: ۴٬۲۱۹ دلار 🟢 نفت: ۸۷.۳۳ دلار 🟢 BTC: $63,969 (↑0.38%) 🟢 ETH: $1,680 (↑0.24%) 🔴 PAXG: $4,213 (↓0.28%) 🟢 SHIB: $0.005 (↑2.85%) 🟢 DOGE: $0.088 (↑1.24%) 🟢 ADA: $0.17 (↑1.64%) 🟢 TRX: $0.32 (↑0.92%) 🟢 XRP: $1.15"
prices_list,https://t.me/s/prices_list,لیست قیمت ها,unknown,20,0,65,False,True,False,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"نرخ فروش ارز، سکه و طلا در بازار -- تغییر نسبت به دیروز - درصد 💵 دلار: 28,300 تومان بدون تغییر ➖ 💶 یورو: 32,845 تومان 30 🔻 %0.09- 💷 پوند: 38,055 تومان 5 🔼 ‏ 🇨🇦 دلار کانادا: 22,225 تومان 10 🔼 %0.05+ ‏ 🇦🇺 دلار استرالیا: 20,385 تومان 30 🔼 %0.15+ ‌‏ 🇨🇳 یوان چین: 4"
qemat_abshoda,https://t.me/s/qemat_abshoda,""" قیمت لحظه ای ابشده """,unknown,20,0,65,False,False,False,False,False,False,ok,channel_survey_rescore|previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"💰 #آبشده_نقدی 75,800,000 فروش ♦️ ✨ #طلا_گرمی 17,498,499"
selidol,https://t.me/s/selidol,نرخ دلار سلیمانیه,unknown,11,0,65,False,False,False,False,False,False,ok,channel_survey_rescore|previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"فردايى ▫️ 186,000 فروش 🔴"
softsazir,https://t.me/s/softsazir,سافت ساز,unknown,18,0,65,False,False,True,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore,🔥 دانلود پکیج افکت صوتی فرانسه ✍️ در این پست کتابخانه افکت های صوتی شامل 99 افکت صوتی فرانسه براتون آماده دانلود کرده ایم ، این کتابخانه حال‌و‌هوای بی‌نظیر شهرهای فرانسه را بازسازی می‌کند ، این مجموعه شامل طیف متنوعی از ضبط‌های میدانی باکیفیت بالا از سراسر شهر
talaclinic1,https://t.me/s/talaclinic1,تابان گوهر | قیمت طلا ، قیمت سکه,Tehran,12,0,65,False,False,True,False,False,False,ok,previous_candidate_rescore|previous_scored_rescore|source_registry_rescore,"💍 تابان گوهر نفیس 💍 آخرین بروزرسانی: ۱۱:۳۰ 🕰 ۲۱ خرداد ۱۴۰۵ 🗓 ⚜️ گرم ۱۸ تهران: ۱۷,۸۷۷,۰۰۰ تومان ⚜️ خرید متفرقه: ۱۷,۵۲۰,۰۰۰ تومان ⚜️ انس طلا: ۴,۱۰۶ دلار ⚜️ یک گرم طلای ۲۴ عیار: ۲۳,۸۳۶,۰۰۰ تومان ⚜️ یک گرم طلای ۲۰ عیار: ۱۹,۸۵۵,۰۰۰ تومان ⚜️ یک گرم طلای ۲۱ عیار: ۲۰,"
