handle_or_url,title,platform,country_guess,city_guess,language_guess,source_type,quote_post_count,buy_sell_pair_count,parseability_score,likely_individual_shop,has_phone,has_address,last_seen,status_guess
patton6966,Patton6966,telegram,Iran,unknown,Turkish,aggregator,0,0,22,False,True,True,2026-03-15T16:54:46+00:00,ok
iranianturkey_official,ایرانیان ترکیه,telegram,Turkey,Istanbul,Persian,aggregator,3,0,46,False,True,True,2026-03-15T14:43:05+00:00,ok
iranian_business_council,Iranian Business Council_Dubai,telegram,UAE,Dubai,Persian,aggregator,0,0,14,False,True,False,2026-02-28T21:44:55+00:00,ok
iranine_london,ایرانیان لندن,telegram,UK,London,Persian,aggregator,0,0,6,False,False,False,,ok_no_text
emiratesiranexchange,emiratesiranexchange,telegram,Iran,unknown,Persian,exchange_shop,10,0,62,True,True,False,2026-02-26T14:28:07+00:00,ok
ghroon,صرافی طهران (TEHRAN EXCHANGE),telegram,Iran,Tehran,Persian,exchange_shop,17,17,92,True,True,False,2024-05-19T15:15:49+00:00,ok
iranexchangeco,Telegram: Contact @iranexchangeco,telegram,Iran,unknown,English,exchange_shop,0,0,14,False,False,False,,ok_no_text
royalmoneyexchengegroup,The Royal Money Exchange Group,telegram,Iran,unknown,Persian,exchange_shop,2,0,30,False,False,False,2026-03-14T23:59:23+00:00,ok
exchanga,Exchange istanbul,telegram,Turkey,Istanbul,Turkish,exchange_shop,7,0,62,True,True,False,2024-11-06T08:17:26+00:00,ok
iranmoneyorg,صرافی ایران مانی استانبول,telegram,Turkey,Istanbul,Persian,exchange_shop,0,0,22,True,True,False,2026-03-15T07:58:33+00:00,ok
iraniane_london,IRANIAN LONDON ایرانیان لندن,telegram,UK,London,Persian,exchange_shop,0,0,14,False,False,False,,ok_no_text
ex_onix,صرافی آنلاین | Ex onix,telegram,unknown,unknown,Persian,exchange_shop,18,0,62,True,True,False,2022-07-09T15:18:42+00:00,ok
samexchange,Sam Exchange صرافی‌سام,telegram,unknown,unknown,Persian,exchange_shop,0,0,14,False,False,False,2026-03-01T02:06:44+00:00,ok
istanbulexchange_com,نرخ لحظه‌ای دلار، لیر، یورو کاپالی چارشی استانبول,telegram,Turkey,Istanbul,Persian,regional_market_channel,16,16,84,False,False,False,2026-03-15T14:00:00+00:00,ok
iranian_uae,ایرانیان امارات,telegram,UAE,Dubai,Persian,settlement_exchange,0,0,30,False,True,True,2026-03-15T16:32:20+00:00,ok
iranian_uk,ايرانيان_انگلستان,telegram,Afghanistan,Herat,Persian,unknown,0,0,14,False,False,True,2026-03-14T21:49:28+00:00,ok
arziranex,Telegram: Contact @arziranex,telegram,Iran,unknown,English,unknown,0,0,6,False,False,False,,ok_no_text
iranian_uk_media,@Iranian_UK_Media,telegram,Iran,unknown,English,unknown,0,0,6,False,False,False,2023-04-22T21:01:29+00:00,ok
iranianuk,Iranian UK,telegram,Iran,unknown,English,unknown,0,0,6,False,False,False,2015-09-26T13:16:41+00:00,ok
para_transferiofficial,Para_Transferi,telegram,Iran,unknown,Turkish,unknown,0,0,6,False,False,False,2023-09-11T06:22:43+00:00,ok
iranconsulateinuk,🇬🇧 کنسولی لندن 🇮🇷,telegram,Turkey,Istanbul,Persian,unknown,0,0,14,False,False,True,2026-03-14T12:36:37+00:00,ok
iranconsulateistanbul,Iranconsulate_Istanbul,telegram,Turkey,Istanbul,Turkish,unknown,0,0,6,False,False,False,2024-01-04T07:43:03+00:00,ok
iranian_school_istanbul,مدرسه ایرانیان استانبول,telegram,Turkey,Istanbul,Persian,unknown,0,0,22,False,True,True,2023-08-05T21:50:03+00:00,ok
durov,Pavel Durov,telegram,UAE,Dubai,Turkish,unknown,0,0,6,False,False,False,2026-03-02T13:01:29+00:00,ok
iranianconsulatedubai,سركنسولگری جمهوری اسلامی ايران- دبی,telegram,UAE,Dubai,Persian,unknown,0,0,14,False,True,False,2026-03-15T08:54:56+00:00,ok
iraniandubai,ایرانیان مقیم دبی,telegram,UAE,Dubai,Persian,unknown,1,0,14,False,False,False,2025-10-05T19:52:04+00:00,ok
iruae,Iran & UAE CC 🇮🇷🇦🇪,telegram,UAE,Dubai,Persian,unknown,0,0,6,False,False,False,2026-01-02T18:03:10+00:00,ok
airjernihhangatt,AirHangat,telegram,UK,unknown,Turkish,unknown,0,0,6,False,False,False,2026-03-14T21:30:20+00:00,ok
bestiranianglobal,Best Iranian,telegram,UK,London,English,unknown,0,0,6,False,False,False,2022-02-22T12:21:33+00:00,ok
iranian_london23,نیازمندیهای ایرانیان لندن IRANIAN LONDON,telegram,UK,London,Persian,unknown,0,0,6,False,False,False,,ok_no_text
iranianinlondon,IRANIAN IN LONDON - ایرانیان مقیم انگلستان,telegram,UK,London,Persian,unknown,0,0,6,False,False,False,,ok_no_text
aradgp7,Arad P7,telegram,unknown,unknown,English,unknown,0,0,6,False,False,False,,ok_no_text
azeri_hub,Azeri Hub,telegram,unknown,unknown,Turkish,unknown,0,0,6,False,False,False,2024-05-27T13:45:49+00:00,ok_no_text
hijabhorny,Hijab Girls 🧕🏻,telegram,unknown,unknown,English,unknown,0,0,6,False,False,False,,ok_no_text
