source,handle,title,source_type,message_text_sample,inferred_value,normalized_irr_value,extraction_type,freshness,parseability_score,timestamp_iso,inferred_unit,sub_locality,tehran_reference,delta_value,quote_density_score
banehdollar,banehdollar,$ بانه دلار $,regional_fx_board,"1404/12/06 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 164,100 🔴 فروش دلار بانه نقدی 163,600 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 105 🔴 فروش دینار عراق 🇮🇶 104 🔵 خرید @banehdollar",1638500.00,1638500.00,pair,old,55,2026-02-25T16:33:14+00:00,toman,iraq,,,100.00
banehdollar,banehdollar,$ بانه دلار $,regional_fx_board,"1404/12/07 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 164,000 🔴 فروش دلار بانه نقدی 163,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 105 🔴 فروش دینار عراق 🇮🇶 104 🔵 خرید @banehdollar",1637500.00,1637500.00,pair,old,55,2026-02-26T11:10:58+00:00,toman,iraq,,,100.00
banehdollar,banehdollar,$ بانه دلار $,regional_fx_board,"1404/12/07 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 163,600 🔴 فروش دلار بانه نقدی 163,100 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 104.5 🔴 فروش دینار عراق 🇮🇶 103.5 🔵 خرید @banehdollar",1633500.00,1633500.00,pair,old,55,2026-02-26T16:02:01+00:00,toman,iraq,,,100.00
banehdollar,banehdollar,$ بانه دلار $,regional_fx_board,"1404/12/09 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 170,000 🔴 فروش دلار بانه نقدی 169,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 109 🔴 فروش دینار عراق 🇮🇶 108 🔵 خرید @banehdollar",1697500.00,1697500.00,pair,old,55,2026-02-28T07:13:42+00:00,toman,iraq,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:١٤:٠٥ دلار آمريکا 🇺🇸 : 160,000 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,650 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T16:44:05+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:١٧:٢٤ دلار آمريکا 🇺🇸 : 160,000 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,600 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T16:47:24+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:١٨:٠٣ دلار آمريکا 🇺🇸 : 159,900 ➖ 🔻 (100) دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,600 دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T16:48:03+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٢٠:١٩ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,550 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T16:50:20+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٢١:٥٧ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,450 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T16:51:57+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٣٢:٥٦ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,400 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:02:56+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٣٣:٥٥ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,300 ➖ 🔻 (100) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:03:55+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٣٥:٣٤ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,500 ➕ 🔺 (200) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:05:34+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٣٧:٣٦ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,450 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:07:36+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٤٣:٠٥ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,350 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:13:05+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٤٥:٢٢ دلار آمريکا 🇺🇸 : 159,900 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,200 ➖ 🔻 (150) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:15:22+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٤٦:٠١ دلار آمريکا 🇺🇸 : 159,800 ➖ 🔻 (100) دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,200 دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:16:02+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٤٧:٤٠ دلار آمريکا 🇺🇸 : 159,800 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,150 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:17:40+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٥١:١٩ دلار آمريکا 🇺🇸 : 159,700 ➖ 🔻 (100) دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,150 دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:21:19+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢٠:٥٩:٥٨ دلار آمريکا 🇺🇸 : 159,700 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 158,000 ➖ 🔻 (150) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:29:59+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢١:٠١:١٥ دلار آمريکا 🇺🇸 : 159,700 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 157,950 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:31:15+00:00,toman,sulaymaniyah,,,100.00
bonbast_tehran_harat,bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,regional_fx_board,"٢٤-٠١-١٤٠٥ ٢١:٠٢:٣٠ دلار آمريکا 🇺🇸 : 159,700 دلار مشهد 🇺🇸 🕌 : 155,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 157,800 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 160,500 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 158,300 @Bonbast_Tehran_Harat",158300.00,1583000.00,single,fresh,85,2026-04-13T17:32:31+00:00,toman,sulaymaniyah,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/09 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 155,000 🔴 فروش دلار سقز نقدی 154,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 99 🔴 فروش دینار عراق 🇮🇶 98 🔵 خرید @dolarsaghez .",1547500.00,1547500.00,pair,old,53,2026-01-29T12:03:53+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/12 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 157,000 🔴 فروش دلار سقز نقدی 156,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 102 🔴 فروش دینار عراق 🇮🇶 101 🔵 خرید @dolarsaghez .",1567500.00,1567500.00,pair,old,53,2026-02-01T11:16:55+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/13 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 156,500 🔴 فروش دلار سقز نقدی 156,000 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 102 🔴 فروش دینار عراق 🇮🇶 101 🔵 خرید @dolarsaghez",1562500.00,1562500.00,pair,old,53,2026-02-02T08:16:41+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/13 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 153,000 🔴 فروش دلار سقز نقدی 152,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 99 🔴 فروش دینار عراق 🇮🇶 98 🔵 خرید @dolarsaghez",1527500.00,1527500.00,pair,old,53,2026-02-02T14:37:08+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/18 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 155,000 🔴 فروش دلار سقز نقدی 154,500 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 101 🔴 فروش دینار عراق 🇮🇶 100 🔵 خرید @dolarsaghez",1547500.00,1547500.00,pair,old,53,2026-02-07T08:30:06+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/26 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 158,500 🔴 فروش دلار سقر نقدی 158,000 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 102.5 🔴 فروش دینار عراق 🇮🇶 101.5 🔵 خرید @dolarsaghez",1582500.00,1582500.00,pair,old,53,2026-02-15T16:17:09+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/29 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 159,800 🔴 فروش دلار سقز نقدی 159,300 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 103.5 🔴 فروش دینار عراق 🇮🇶 102.5 🔵 خرید @dolarsaghez",1595500.00,1595500.00,pair,old,53,2026-02-18T07:59:19+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/11/30 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 162,500 🔴 فروش دلار سقر نقدی 162,000 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 104 🔴 فروش دینار عراق 🇮🇶 103 🔵 خرید @dolarsaghez",1622500.00,1622500.00,pair,old,53,2026-02-19T08:09:45+00:00,toman,iraq,,,100.00
dolarsaghez,dolarsaghez,دلار سقز,regional_market_channel,"1404/12/03 ➖ ➖ ➖ ➖ ➖ ➖ دلار سقز نقدی 163,500 🔴 فروش دلار سقز نقدی 163,000 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 105 🔴 فروش دینار عراق 🇮🇶 104 🔵 خرید @dolarsghez .",1632500.00,1632500.00,pair,old,53,2026-02-22T08:59:19+00:00,toman,iraq,,,100.00
