handle,title,source_priority,channel_type_guess,likely_individual_shop,total_messages_seen,quote_records_extracted,deduplicated_records,usd_records,eur_records,buy_sell_pair_records,likely_direct_records,likely_reposted_records,average_record_quality_score,ingestion_readiness_score,recommended_status
istanbulim_com,قیمت لحظه‌ای لیر، دلار، یورو صرافی استانبول,P1,individual_exchange_shop,True,20,20,20,20,20,20,20,0,90.8,95.86,ready_for_research_ingestion
iranbroker_net,ایران بروکر | اخبار ارز دیجیتال و فارکس,P1,individual_exchange_shop,True,20,12,12,6,0,12,12,0,79.0,90.55,ready_for_research_ingestion
mellalex,🇬🇧 صرافی تهران,P1,individual_exchange_shop,True,20,20,20,20,20,20,20,0,70.0,86.5,ready_for_research_ingestion
sarafionline7groupuk,Nerkh Sarafi Online 7 Group Uk,P1,individual_exchange_shop,True,20,13,8,13,13,7,8,5,80.62,84.41,ready_for_research_ingestion
exchangeratescountries,نرخ ارز ساعتی £ $ €,P1,individual_exchange_shop,True,20,16,11,11,11,7,11,5,75.55,83.54,ready_for_research_ingestion
irancurrency,قیمت لحظه ای دلار ، ارز ، سکه و طلا,P1,market_price_channel,False,20,20,15,20,20,20,0,5,81.07,81.48,ready_for_research_ingestion
daviditsupportuklondon,DAVID IT SUPPORT UK,P1,individual_exchange_shop,True,20,14,14,8,8,7,14,0,73.86,80.74,ready_for_research_ingestion
ircentralbank,صرافی ملی,P1,market_price_channel,False,20,20,16,20,20,20,0,4,62.0,71.65,monitor_only
bazar360,Bazar360.com نرخ ارز,P1,individual_exchange_shop,True,20,20,20,20,20,20,0,20,64.6,69.07,monitor_only
navasanchannel,نوسان - اعلان لحظه ای نرخ ارز و سکه,P1,market_price_channel,False,20,20,14,17,3,0,0,6,75.86,59.14,monitor_only
nerkhtetheruk,نرخ ارز دیجیتال تتر لندن,P2,individual_exchange_shop,True,20,13,1,6,6,6,1,12,57.0,100.0,duplicate_heavy
groupsarafilondonuk,گروه تجاری مالی لندن London,P2,individual_exchange_shop,True,20,11,6,3,3,11,6,5,78.17,92.67,ready_for_research_ingestion
mazanehnet,مظنه ارز در بازار تهران,P2,individual_exchange_shop,True,20,20,20,20,20,0,20,0,68.4,70.78,monitor_only
eurobazaar,یورو بازار بانکی,P2,market_price_channel,False,20,20,20,0,20,8,0,0,83.15,68.42,monitor_only
qheimat_dolar_sabze,نرخ دلار و طلا و سکه تهران,P2,individual_exchange_shop,True,20,20,20,11,11,0,20,0,54.4,64.48,monitor_only
irancrypto,IranCrypto,P2,market_price_channel,False,20,20,20,20,20,0,0,0,70.4,56.68,monitor_only
ramzinexprices,قیمت لحظه‌ای رمزینکس,P2,market_price_channel,False,20,20,20,20,20,0,0,0,63.95,53.78,monitor_only
live_rate_ir,Live-Rate.ir قیمت ارز دیجیتال و سکه و طلا و دلار,P2,market_price_channel,False,20,20,13,20,10,0,0,7,49.08,47.08,monitor_only
arzchande,ارز چنده؟ | Bonbast | بن بست,P2,market_price_channel,False,20,20,15,20,20,0,0,5,43.93,44.77,unstable_format
bonbast_exchange,نرخ دلار، یورو، پوند | بن بست | Bonbast,P2,market_price_channel,False,20,20,7,20,20,0,0,13,43.0,26.85,duplicate_heavy
