handle,title,source_priority,origin_priority,priority_score,channel_type_guess,likely_individual_shop,public_url,selection_note
bazar360,Bazar360.com نرخ ارز,P1,P1,109.00,individual_exchange_shop,True,https://t.me/s/bazar360,top_p1
istanbulim_com,قیمت لحظه‌ای لیر، دلار، یورو صرافی استانبول,P1,P1,109.00,individual_exchange_shop,True,https://t.me/s/istanbulim_com,top_p1
mellalex,🇬🇧 صرافی تهران,P1,P1,109.00,individual_exchange_shop,True,https://t.me/s/mellalex,top_p1
irancurrency,قیمت لحظه ای دلار ، ارز ، سکه و طلا,P1,P1,101.00,market_price_channel,False,https://t.me/s/irancurrency,top_p1
ircentralbank,صرافی ملی,P1,P1,100.00,market_price_channel,False,https://t.me/s/ircentralbank,top_p1
exchangeratescountries,نرخ ارز ساعتی £ $ €,P1,P1,91.00,individual_exchange_shop,True,https://t.me/s/exchangeratescountries,top_p1
sarafionline7groupuk,Nerkh Sarafi Online 7 Group Uk,P1,P1,88.00,individual_exchange_shop,True,https://t.me/s/sarafionline7groupuk,top_p1
daviditsupportuklondon,DAVID IT SUPPORT UK,P1,P2,82.00,individual_exchange_shop,True,https://t.me/s/daviditsupportuklondon,promoted_from_p2_due_to_p1_shortage
navasanchannel,نوسان - اعلان لحظه ای نرخ ارز و سکه,P1,P2,82.00,market_price_channel,False,https://t.me/s/navasanchannel,promoted_from_p2_due_to_p1_shortage
iranbroker_net,ایران بروکر | اخبار ارز دیجیتال و فارکس,P1,P2,79.00,individual_exchange_shop,True,https://t.me/s/iranbroker_net,promoted_from_p2_due_to_p1_shortage
eurobazaar,یورو بازار بانکی,P2,P2,78.00,market_price_channel,False,https://t.me/s/eurobazaar,top_p2
mazanehnet,مظنه ارز در بازار تهران,P2,P2,78.00,individual_exchange_shop,True,https://t.me/s/mazanehnet,top_p2
arzchande,ارز چنده؟ | Bonbast | بن بست,P2,P2,77.00,market_price_channel,False,https://t.me/s/arzchande,top_p2
irancrypto,IranCrypto,P2,P2,76.00,market_price_channel,False,https://t.me/s/irancrypto,top_p2
live_rate_ir,Live-Rate.ir قیمت ارز دیجیتال و سکه و طلا و دلار,P2,P2,76.00,market_price_channel,False,https://t.me/s/live_rate_ir,top_p2
nerkhtetheruk,نرخ ارز دیجیتال تتر لندن,P2,P2,75.00,individual_exchange_shop,True,https://t.me/s/nerkhtetheruk,top_p2
qheimat_dolar_sabze,نرخ دلار و طلا و سکه تهران,P2,P2,75.00,individual_exchange_shop,True,https://t.me/s/qheimat_dolar_sabze,top_p2
bonbast_exchange,نرخ دلار، یورو، پوند | بن بست | Bonbast,P2,P2,74.00,market_price_channel,False,https://t.me/s/bonbast_exchange,top_p2
ramzinexprices,قیمت لحظه‌ای رمزینکس,P2,P2,74.00,market_price_channel,False,https://t.me/s/ramzinexprices,top_p2
groupsarafilondonuk,گروه تجاری مالی لندن London,P2,P2,73.00,individual_exchange_shop,True,https://t.me/s/groupsarafilondonuk,top_p2
