handle,title,source_priority,message_text_sample,currency,buy_quote,sell_quote,midpoint,raw_numeric_values,city_guess,quote_type_guess,timestamp_text,freshness_score,structure_score,duplication_flag,directness_score,overall_record_quality_score,value_unit_guess,buy_quote_rial,sell_quote_rial,midpoint_rial,dedup_keep,channel_type_guess,likely_individual_shop,timestamp_iso
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/10 @ 10:32 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,360 ⬆ [چارت 📈 ] 🇨🇦 دلار کانادا: 122,000 [چارت 📉 ] 🇪🇺 یورو: 196,690 [چارت 📉 ] 🇬🇧 پوند بریتانیا: 224,560 [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 درهم ا...",AED|EUR|GBP|TRY|USD,166360,122000,144180.00,166360|122000|196690|224560|45309|44418|12720|24270|118390,Tehran,reposted,07:02,25,100,none,34,57,rial,166360,122000,144180.00,True,individual_exchange_shop,True,2026-03-01T07:02:35+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/10 @ 14:02 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,350 ⬆ [چارت 📈 ] 🇨🇦 دلار کانادا: 121,970 ⬇ [چارت 📉 ] 🇪🇺 یورو: 196,650 ⬇ [چارت 📉 ] 🇬🇧 پوند بریتانیا: 224,520 ⬇ [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 ...",AED|EUR|GBP|TRY|USD,166350,121970,144160.00,166350|121970|196650|224520|45301|44410|12720|24260|118370,Tehran,reposted,10:32,25,100,none,34,57,rial,166350,121970,144160.00,True,individual_exchange_shop,True,2026-03-01T10:32:57+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/11 @ 10:30 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,370 [چارت 📉 ] 🇨🇦 دلار کانادا: 121,980 [چارت 📉 ] 🇪🇺 یورو: 196,660 [چارت 📉 ] 🇬🇧 پوند بریتانیا: 224,530 [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 درهم اما...",AED|EUR|GBP|TRY|USD,166370,121980,144175.00,166370|121980|196660|224530|45303|44412|12720|24260|118370,Tehran,reposted,07:00,25,100,none,34,57,rial,166370,121980,144175.00,True,individual_exchange_shop,True,2026-03-02T07:00:34+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/11 @ 14:01 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,360 ⬇ [چارت 📉 ] 🇨🇦 دلار کانادا: 121,920 ⬇ [چارت 📉 ] 🇪🇺 یورو: 195,400 ⬇ [چارت 📉 ] 🇬🇧 پوند بریتانیا: 222,640 ⬇ [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 ...",AED|EUR|GBP|TRY|USD,166360,121920,144140.00,166360|121920|195400|222640|45321|44374|12940|24190|117910,Tehran,reposted,10:31,25,100,none,34,57,rial,166360,121920,144140.00,True,individual_exchange_shop,True,2026-03-02T10:31:00+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/12 @ 10:30 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,340 [چارت 📉 ] 🇨🇦 دلار کانادا: 121,360 [چارت 📉 ] 🇪🇺 یورو: 194,260 [چارت 📉 ] 🇬🇧 پوند بریتانیا: 222,470 [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,790 [چارت 📉 ] 🇦🇪 درهم اما...",AED|EUR|GBP|TRY|USD,166340,121360,143850.00,166340|121360|194260|222470|45306|44391|12720|24180|117470,Tehran,reposted,07:00,25,100,none,34,57,rial,166340,121360,143850.00,True,individual_exchange_shop,True,2026-03-03T07:00:41+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/12 @ 14:01 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,340 [چارت 📉 ] 🇨🇦 دلار کانادا: 121,530 ⬆ [چارت 📈 ] 🇪🇺 یورو: 193,380 ⬇ [چارت 📉 ] 🇬🇧 پوند بریتانیا: 221,500 ⬇ [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 ⬇ [چارت 📉 ] 🇦🇪 ...",AED|EUR|GBP|TRY|USD,166340,121530,143935.00,166340|121530|193380|221500|45323|44390|12910|24120|117430,Tehran,reposted,10:31,25,100,none,34,57,rial,166340,121530,143935.00,True,individual_exchange_shop,True,2026-03-03T10:31:06+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/13 @ 10:30 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,355 [چارت 📉 ] 🇨🇦 دلار کانادا: 121,700 [چارت 📉 ] 🇪🇺 یورو: 192,950 [چارت 📉 ] 🇬🇧 پوند بریتانیا: 221,740 [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 درهم اما...",AED|EUR|GBP|TRY|USD,166355,121700,144027.50,166355|121700|192950|221740|45328|44394|12960|24120|116760,Tehran,reposted,07:00,25,100,none,34,57,rial,166355,121700,144027.50,True,individual_exchange_shop,True,2026-03-04T07:00:48+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/13 @ 14:01 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,335 ⬇ [چارت 📉 ] 🇨🇦 دلار کانادا: 121,660 ⬇ [چارت 📉 ] 🇪🇺 یورو: 193,000 ⬆ [چارت 📈 ] 🇬🇧 پوند بریتانیا: 222,020 ⬆ [چارت 📈 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 ...",AED|EUR|GBP|TRY|USD,166335,121660,143997.50,166335|121660|193000|222020|45323|44371|12950|24080|116800,Tehran,reposted,10:31,25,100,none,34,57,rial,166335,121660,143997.50,True,individual_exchange_shop,True,2026-03-04T10:31:10+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/14 @ 10:30 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,370 [چارت 📉 ] 🇨🇦 دلار کانادا: 121,800 [چارت 📉 ] 🇪🇺 یورو: 193,710 [چارت 📉 ] 🇬🇧 پوند بریتانیا: 222,630 [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 درهم اما...",AED|EUR|GBP|TRY|USD,166370,121800,144085.00,166370|121800|193710|222630|45302|44383|12720|24130|117590,Tehran,reposted,07:00,45,100,none,34,64,rial,166370,121800,144085.00,True,individual_exchange_shop,True,2026-03-05T07:00:56+00:00
bazar360,Bazar360.com نرخ ارز,P1,"آخرین نرخ فروش ارز و طلا در بازار تهران Bazar360.com - 1404/12/14 @ 14:01 نرخ تقریبی فروش ارز در بازار آزاد 🇺🇸 دلار آمریکا: 166,330 ⬇ [چارت 📉 ] 🇨🇦 دلار کانادا: 121,840 ⬆ [چارت 📈 ] 🇪🇺 یورو: 193,010 ⬇ [چارت 📉 ] 🇬🇧 پوند بریتانیا: 221,850 ⬇ [چارت 📉 ] 🇹🇷 لیر ترکیه: 3,780 [چارت 📉 ] 🇦🇪 ...",AED|EUR|GBP|TRY|USD,166330,121840,144085.00,166330|121840|193010|221850|45328|44382|12950|24130|116980,Tehran,reposted,10:31,45,100,none,34,64,rial,166330,121840,144085.00,True,individual_exchange_shop,True,2026-03-05T10:31:17+00:00
