handle,title,public_url,source_type,quote_message_count,board_message_count,locality_mentions,localities_detected_count,quote_density_score,median_parseability_score,latest_timestamp,status,top_sample,discovery_origins
aghayebazar_official,آقای بازار، نرخ لحظه ای دلار، یورو، تتر، بیت کوین، ارز، سکه و طلا,https://t.me/s/aghayebazar_official,regional_market_channel,20,20,Turkey|UK,2,100,50.0,2026-02-27T05:41:38+00:00,ok,"#نرخ_ارز #سکه #طلا #دلار #بیتکوین ☸️ دلار آمريکا : 1,656,600 ریال ☸️ یورو: 1,956,200 ریال ☸️ درهم آمارات: 451,260 ریال ☸️ پوند انگلیس: 2,243,200 ریال ☸️ لیر ترکیه: 37,800 ریال ☸️ فرانک سوئیس: 2,144,100 ریال ☸️ یوان چین: 242,200 ریال ☸️ ین ژ...",existing_registry|iran_seed
berlin_pay,برلین پِی,https://t.me/s/berlin_pay,exchange_shop,20,20,Berlin,1,100,57.0,2026-03-10T10:04:45+00:00,ok,3 Feb. خرید یورو نقدی €* 170000 برلین 171000 تعداد بالا خرید یورو واریزبانکی* 173000 تو حسابی 174000 تعداد بالا https://chat.whatsapp.com/L204hi6hEZe3W9I2UUJiLd,germany_seed
dollariraqi,سعر الدولار في العراق لحظة بلحظة بورصة الكفاح و الحارثية $,https://t.me/s/dollariraqi,regional_fx_board,0,20,Baghdad|Erbil|Iraq|Sulaymaniyah,4,100,92.0,2026-04-29T19:47:19+00:00,ok,"💰 💰 100 $ أخر الأسعــــار مساء اليـــوم- 🕥 : بغداد: 152.500 عرض أربيل: 152.600 عرض ▣بغداد-صيرفات: 🔹 152,600 بيع - 151,600 شراء ▣أربيل - اسكان: 🔹 153,000 بيع -151,500 شراء 💎 مثقال ذهب عيار 21= 1.055.000 دينار ـ 🇪🇺 اليورو= 117.5$ 💷 الباوند=13...",uk
eurobazaar,یورو بازار بانکی,https://t.me/s/eurobazaar,unknown,20,20,,0,100,78.0,2026-04-30T04:51:54+00:00,ok,"⭐
🔁 حواله 68711 بابت #خرید یورو 🔸 خریدار: Parsa 💵 مبلغ : 100 یورو 💰 نرخ پیشنهادی: 160,000 تومان زیر نظر کانال با کارمزد 2.5 یورو 🔻 نوع حواله: حواله بانکی ✍️ توضیحات: درود دانشجو هستم برای دانشگاه میخوام ❓ 205,500 تومان در 02/10 01:01 توسط M...",germany_seed
hamburg_euro,هامبورگ یورو,https://t.me/s/hamburg_euro,unknown,20,20,Germany|Hamburg,2,100,43.0,2026-04-24T15:43:37+00:00,ok,🔹 #فروش_یورو #هامبورگ آلمان مقدار: 300 یورو نرخ: 110000 تومان 👤 ارتباط با شخص | توضیحات: حضوری 190,germany_seed
irancurrency,قیمت لحظه ای دلار ، ارز ، سکه و طلا,https://t.me/s/irancurrency,regional_market_channel,20,20,Iran|Iraq,2,100,84.0,2026-04-29T15:17:41+00:00,ok,"نرخ فروش #دلار ، #ارز ، #سکه و #طلا در بازار -- تغییر نسبت به دیروز - درصد 💵 دلار: 181,010 تومان 9800 🔼 %5.72+ 💶 یورو: 212,090 تومان 11680 🔼 %5.83+ 💷 پوند: 244,820 تومان 13530 🔼 %5.85+ ‏ 🇨🇦 دلار کانادا: 132,410 تومان 7350 🔼 %5.88+ ‏ 🇦🇺 دلار...",iran_seed
shirazexchangelondon,Shiraz Exchange,https://t.me/s/shirazexchangelondon,regional_market_channel,20,20,London|Shiraz,2,100,60.0,2024-06-24T09:25:37+00:00,ok,"‏ 💰 Shiraz Exchange 💰 🗓 20.MAY.2024 خريد پوند نقدی: 69,000 فروش پوند نقدی:73,000 ==========£££========== خريد پوند از حساب:70,700 فروش پونداز حساب: 74,000 📌 مشتريان محترم به دليل لحظه اي بودن و نوسانات قيمت أرز، جهت اطلاع از اخرين قيمت هاتم...",uk
hmtransfer,تبادل ارز اروپا,https://t.me/s/hmtransfer,regional_market_channel,20,19,Germany|Mashhad,2,100,83,2026-04-30T05:04:10+00:00,ok,"🔄 حواله 440 بابت #فروش_یورو 🗣 فروشنده : Ehsan 💚 🤍 🤍 🤍 🤍 💶 مبلغ: 700 یورو 💰 نرخ پیشنهادی: 205,000 تومان ‼️ 💳 نوع حواله: پی پال از آلمان ✍️ توضیحات: پرداخت از طریق paypal یا revolut پیشنهادهای ارسال شده: ❌ 192,000 تومان در 10 اردیبهشت 07:15 ت...",germany_seed
dollarlahzei1,قیمت لحظه ای دلار خودرو💲,https://t.me/s/dollarlahzei1,unknown,19,19,Tehran,1,0,61,2026-04-29T16:57:09+00:00,ok,"دلار فردایی تهران ⏳ 174,500 خــرید 🔵",iran_seed
fardaei_tehran,قیمت لحظه ای دلار تهران,https://t.me/s/fardaei_tehran,unknown,19,19,Tehran,1,0,61,2026-04-29T16:57:08+00:00,ok,"دلار نـقدی تهران 💵 175,000 معامله شد ☑️",iran_seed
