handle_or_url,title,platform,country_guess,city_guess,source_type,locality_hints,quote_message_count,usable_record_count,buy_sell_pair_count,median_parseability_score,latest_timestamp,status,top_sample,discovery_origins
bonbast_tehran_harat,قیمت لحظه ای دلار تهران مشهد هرات استانبول سلیمانیه,telegram,Iraq,unknown,regional_market_channel,Herat|Istanbul|Sulaymaniyah|Tehran,20,80,0,73.0,2026-06-30T17:39:49+00:00,ok,"09-04-1405 20:20:27 دلار آمريکا 🇺🇸 : 171,000 دلار مشهد 🇺🇸 🕌 : 170,000 دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 : 173,450 ➖ 🔻 (50) دلار استانبول 🇺🇸 🇹🇷 : 172,600 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 : 173,800 @Bonbast_Tehran_Harat",previous_candidate_registry|source_registry
arianarates,نرخ لحظه اي آريانا | Daily Rates,telegram,unknown,unknown,unknown,,20,40,0,46.0,2025-04-23T11:00:02+00:00,ok,"دلار استرالیا 51,870 🇦🇺 🔻 دلار آمریکا تهران 80,700 🇺🇸 🔻 دلار آمریکا هرات 79,750 🇺🇸 🔻 یورو 92,990 🇪🇺 🔻 درهم امارات 22,210 🇦🇪 🔻 لیر ترکیه 2,110 🇹🇷 🔻 تتر 80,800 🔻 سه شنبه 02 اردیبهشت 1404 ساعت 20:30 (به وقت ملبورن)",previous_candidate_registry|source_registry
aghadolar,اخبار آقای دلار,telegram,unknown,unknown,aggregator,,13,24,0,67,2026-06-30T17:53:04+00:00,ok,"06-04-1405 20:52:58 🔹 🔹 🔹 🔹 🔹 نرخ ارز 🔹 🔹 🔹 🔹 🔹 دلار آمريکا 🇺🇸 :166,300 ➕ 🔺 (100) دلار مشهد 🇺🇸 🕌 :164,500 ➕ 🔺 (500) دلار هرات فردایی ⏳ 🇺🇸 🇦🇫 :168,050 ➕ 🔺 (300) دلار استانبول 🇺🇸 🇹🇷 :166,900 دلار سلیمانیه فردایی 🇺🇸 🇹🇯 :167,700 يورو 🇪🇺 :189,40...",previous_candidate_registry|source_registry
dolareseleimani,نرخ لحظه ای دلار سلیمانیه,telegram,Iraq,Tehran,regional_market_channel,Sulaymaniyah|Tehran,20,20,0,76.0,2026-06-30T19:39:05+00:00,ok,"دلار فردایی تهران ⏳ 172,920 خــرید 🔵 ⏱️ به‌روزرسانی: 20:27:21 📅 تاریخ: سه‌شنبه 9 تیر 1405 💎 دلار سلیمانی",existing_registry|previous_candidate_registry|source_registry
arzdolar,کانال ارز دلار | ARZDOLAR,telegram,Iran,Tehran,regional_market_channel,Tehran,20,20,0,70.0,2026-06-30T17:31:11+00:00,ok,"🔔 #دلار تهران = 171,700 #تتر (تومان) = 172,377",previous_candidate_registry|source_registry
emroz_chand,قیمت ارز و دلار | امروز چند؟,telegram,unknown,unknown,regional_market_channel,,20,20,0,69.0,2026-06-30T18:42:48+00:00,ok,"♨️ نرخ لحظه‌ای ارز و طلا 🔻 قیمت ارز: ♨️ تتر - 171,750 تومان ♨️ دلار آمريکا - 173,500 تومان ♨️ یورو اروپا - 197,670 تومان ♨️ پوند انگلیس - 229,040 تومان ♨️ درهم امارات - 47,690 تومان ♨️ لير ترکيه - 3,725 تومان ♨️ یوان چین - 25,520 تومان 🔻 قی...",previous_candidate_registry|source_registry
ezzchand,chande?,telegram,unknown,unknown,regional_market_channel,,20,20,0,69.0,2026-06-30T15:21:19+00:00,ok,"📆 سه‌شنبه 9 تیر 🕰 13:06 💱 نرخ ارز: (تومان) ‏ 🇺🇸 دلار آمریکا 171,200 🔼 %6.01 ‏ 🇦🇪 درهم 46,280 🔼 %6 ‏ 💲 تتر 170,700 🔼 %6.02 ‏ 🇪🇺 یورو 195,000 🔼 %5.23 ‏ 🇬🇧 پوند انگلیس 224,300 🔼 %6 ‏ 🇨🇳 یوان چین 25,320 🔼 %5.68 🪙 قیمت طلا و سکه: (تومان) ‏ 🌕 سکه...",previous_candidate_registry|source_registry
dollarferdowsi,دلار فردوسی تهران,telegram,Iran,Tehran,regional_market_channel,Tehran,20,20,0,67.0,2026-06-30T18:00:54+00:00,ok,"دلار تهران ⛳️ : 170,300 فروش 🔴",previous_candidate_registry|source_registry
dolarsaghez,دلار سقز,telegram,Iran,Tehran,exchange_shop,Tehran,20,20,9,60.0,2026-06-16T12:36:46+00:00,ok,"دلار فردایی تهران 157,‌900 خـرید دلار فردایی تهران 157,950 فروش دلار فردایی تهران 157,900 معامله",existing_registry|previous_candidate_registry|source_registry
berlin_pay,برلین پِی,telegram,Germany,Germany,regional_market_channel,Berlin|Germany,20,20,0,57.0,2026-03-10T10:04:45+00:00,ok,3 Feb. خرید یورو نقدی €* 170000 برلین 171000 تعداد بالا خرید یورو واریزبانکی* 173000 تو حسابی 174000 تعداد بالا https://chat.whatsapp.com/L204hi6hEZe3W9I2UUJiLd,manual_germany_seed|previous_candidate_registry|source_registry
arzmash,ارزماش ـ‌ کانال لحظه ای قیمت ارز و طلا⏰,telegram,unknown,unknown,unknown,,20,20,0,56.0,2026-02-10T11:31:01+00:00,ok,💰 نرخ‌های روز بازار ارز و طلا 💰 🇺🇸 دلار آمریکا: 161400 تومان 🇪🇺 یورو: 190830 تومان 🇨🇦 دلار کانادا: 118160 تومان 🇬🇧 پوند انگلیس: 219530 تومان 🇦🇪 درهم امارات: 44370 تومان 🇨🇳 یوآن چین: 23260 تومان 🇹🇷 لیر ترکیه: 3700 تومان 💎 نرخ سکه و طلا 💎 💰 س...,previous_candidate_registry|source_registry
bonbast_exchange,نرخ دلار، یورو، پوند | بن بست | Bonbast,telegram,UK,London,regional_market_channel,London,20,20,0,43.0,2025-01-10T06:53:47+00:00,ok,"💵 دلار آمریکا : 79,500 تومان 🔻 💶 یورو اروپا : 82,100 تومان 🔻 💷 پوند انگلیس : 99,000 تومان 🔻 📅 تاریخ میلادی: 2025/01/06 📅 تاریخ شمسی: 1403/10/17 ⏰ 13:15:29 @bonbast_exchange",existing_registry|previous_candidate_registry|quote_sample_hint|source_registry
dollarlahzei1,قیمت لحظه ای دلار خودرو💲,telegram,unknown,unknown,unknown,,20,20,0,31.0,2026-05-27T12:42:07+00:00,ok,"دلار فردایی تهران ⏳ 172,000 خــرید 🔵",previous_candidate_registry|source_registry
nerkhedolar1,نرخ دلار به تومان | قیمت دلار نقدی| دلار فردایی,telegram,Iran,Tehran,exchange_shop,Tehran,18,18,0,82.0,2026-06-30T19:40:35+00:00,ok,"💸 دلار فردایی تهران 💵 170,800 خـرید 💸 💸 دلار فردایی تهران 💵 170,850 فروش 💵 💸 دلار فردایی تهران 💵 170,800 معامله ✅",existing_registry|previous_candidate_registry|source_registry
sarafha_com,نرخ لحظه ای ارز و طلا,telegram,UK,London,aggregator,London,18,18,0,68.0,2026-06-30T18:00:04+00:00,ok,"🔸 دلار آمریکا : 172,000 🔸 دلار کانادا : 121,060 🔸 یورو : 196,160 🔸 پوند انگلیس : 227,770 🔸 درهم امارات : 47,280 🔸 یوآن چین : 25,300 🔸 لیر ترکیه : 3,690 🔸 سکه امامی : 169,000,000 🔸 نیم سکه : 88,000,000 🔸 ربع سکه : 51,000,000 🔸 گرم طلای 18 : ...",existing_registry|previous_candidate_registry|quote_sample_hint|source_registry
fardaei_tehran,قیمت لحظه ای دلار تهران,telegram,Iran,Tehran,regional_market_channel,Tehran,19,18,0,61.0,2026-06-30T17:32:11+00:00,ok,"دلار فردایی تهران ⏳ 171,800 مـعامله شد ✅",previous_candidate_registry|source_registry
tahran_sabza,قیمت لحظه ای دلارتهران,telegram,Iran,unknown,regional_market_channel,Tehran,18,18,0,49.0,2026-06-30T17:30:55+00:00,ok,"دلار فردایی تهران ⏳ 172,800 خــرید 🔵",previous_candidate_registry|source_registry
navasanchannel,نوسان - اعلان لحظه ای نرخ ارز و سکه,telegram,UK,London,regional_market_channel,London,19,17,15,88,2026-06-30T17:24:15+00:00,ok,"💵 دلار آمریکا فروش 🔴 : 172,200 تومان 💵 دلار آمریکا خرید 🔵 : 171,800 تومان 💶 یورو فروش : 196,300 تومان دلار کانادا فروش 🇨🇦 : 123,790 تومان درهم امارات 🇦🇪 : 47,330 تومان سکه امامی ✴️ : 170,500,000 تومان سکه بهار آزادی ✴️ : 166,000,000 تومان ن...",previous_candidate_registry|quote_sample_hint|source_registry
avatodaydollar,Avatoday Dollar exchange آواتودی دلار,telegram,unknown,unknown,regional_market_channel,,18,17,0,45,2026-06-28T14:51:42+00:00,ok,"💸 دلار فردایی تهران 💵 165,‌700 خـرید 💸 💸 دلار فردایی تهران 💵 165,750 فروش 💵 💸 دلار فردایی تهران 💵 165,700 معامله ✅ 🆔 @avatodaydollar",previous_candidate_registry|source_registry
abanpardakht,AbanPardakht,telegram,unknown,unknown,unknown,,18,15,0,68,2026-06-30T16:30:51+00:00,ok,"📊 گزارش لحظه ای بازار ارز(اسکناس): 🇺🇸 USD: 172,940 🔺 دلار آمریکا 🇪🇺 EUR: 195,400 🔺 یورو 🇬🇧 󠁧󠁢󠁥󠁮 GBP: 226,400 🔺 پوند انگلیس 🇨🇦 CAD: 120,860 🔺 دلار کانادا 🇦🇺 AUD: 118,250 🔺 دلار استرالیا 🇨🇭 CHF: 211,840 🔺 فرانک سوئیس 🇹🇷 TRY: 3,685 🔺 لیر ترکیه...",previous_candidate_registry|source_registry
dollarsst,قیمت لحظه ای دلار تهران,telegram,Iran,unknown,regional_market_channel,Tehran,15,15,0,39,2025-10-15T17:30:26+00:00,ok,دلار فردایی تهران ⏳ 109600 خــرید 🔵,previous_candidate_registry|source_registry
hmtransfer,تبادل ارز اروپا,telegram,Germany,Germany,settlement_channel,Germany,20,14,14,83.0,2026-06-30T19:50:05+00:00,ok,"🔄 حواله 6530 بابت #فروش_یورو 🗣 فروشنده : Ali Reza 💚 💚 💚 💚 💚 💶 مبلغ: 150 یورو 💰 نرخ پیشنهادی: 194,000 تومان 💳 نوع حواله: حواله بانکی حساب شخص از آلمان ✍️ توضیحات: حواله بانکی فقط در المان یا پی پال پیشنهادهای ارسال شده: ❌ 180,000 تومان در 09...",manual_germany_seed|previous_candidate_registry|source_registry
groupsarafilondonuk,گروه تجاری مالی لندن London,telegram,UK,London,exchange_shop,London,14,14,7,78,2026-06-30T09:27:50+00:00,ok,"گروه صرافي لندن قیمت پوند انگلستان 24/06/2026 ✓ خرید پوند حساب 195,000 ✓ فروش پوند حساب 210,000 ✓ خرید پوند نقدی 190,000 ✓ فروش پوند نقدی 205,000 ✓ فروش پوند حساب رسمی 220,000 ✓ بیشتر از مبالغ 1,000£ بدونه کارمزد ✓ خرید و فروش ارز‌دیجیتال ت...",existing_registry|manual_uk_seed|previous_candidate_registry|quote_sample_hint|source_registry
frankfurt_euro,فرانکفورت یورو,telegram,Germany,Frankfurt,settlement_channel,Frankfurt,20,14,7,60,2026-01-15T15:43:33+00:00,ok,🔸 #خرید_یورو #فرانکفورت آلمان مقدار: 2000 یورو نرخ: 72500 تومان 👤 ارتباط با شخص | توضیحات: 85000,manual_germany_seed|previous_candidate_registry|source_registry
arzchande,ارز چنده؟ | Bonbast | بن بست,telegram,UK,London,regional_market_channel,London,20,14,0,43.0,2025-01-10T06:53:47+00:00,ok,"💵 دلار آمریکا : 79,750 تومان ❇️ 💶 یورو اروپا : 83,100 تومان ❇️ 💷 پوند انگلیس : 100,050 تومان ❇️ 📅 تاریخ میلادی: 2025/01/06 📅 تاریخ شمسی: 1403/10/17 ⏰ 18:01:23 @arzchande",existing_registry|previous_candidate_registry|quote_sample_hint|source_registry
sarafha_rate,کانال قیمت لحظه ای دلار، یورو، سکه و طلا,telegram,UK,London,aggregator,London,12,12,0,46.0,2025-06-07T15:00:03+00:00,ok,"🔸 دلار آمریکا : 83,650 🔸 دلار کانادا : 61,250 🔸 یورو : 95,590 🔸 پوند انگلیس : 113,590 🔸 درهم امارات : 22,990 🔸 یوآن چین : 11,650 🔸 لیر ترکیه : 2,125 🔸 سکه امامی : 73,700,000 🔸 اونس طلا : 3,383 🔸 نیم سکه : 41,700,000 🔸 ربع سکه : 23,900,000 🔸...",existing_registry|previous_candidate_registry|quote_sample_hint|source_registry
exchangeratescountries,نرخ ارز ساعتی £ $ €,telegram,UK,London,exchange_shop,London,17,11,5,82.5,2026-06-30T09:51:30+00:00,ok,"گروه صرافي لندن قیمت پوند انگلستان 26/06/2026 ✓ خرید پوند حساب 195,000 ✓ فروش پوند حساب 210,000 ✓ خرید پوند نقدی 190,000 ✓ فروش پوند نقدی 205,000 ✓ فروش پوند حساب رسمی 220,000 ✓ بیشتر از مبالغ 1,000£ بدونه کارمزد ✓ خرید و فروش ارز‌دیجیتال ت...",existing_registry|manual_uk_seed|persian|previous_candidate_registry|quote_sample_hint|source_registry
sarafimtc,Sarafi MTC GROUP LONDON,telegram,UK,unknown,unknown,London,20,11,11,69,2024-10-17T09:35:08+00:00,ok,"03.10.2024 💷 💷 💷 💷 💷 💷 #نرخ روزانه صرافی ام تی سی گروپ لندن. خرید ما: 👇 76,500 - 78,500 ✨ ✨ ✨ ✨ فروش ما: 👇 82,500 - 83,500 ✨ مشتریان عزیز: لطفا جهت دریافت قیمت قطعی با ما چت واتساپ و تماس بگیرید 🙏 ✨ توجه: برای مبالغ کمتر از هزار پوند 10£ کا...",previous_candidate_registry|source_registry
sabze_meydun,نرخ سبزه میدون تهران,telegram,Iran,Tehran,exchange_shop,Tehran,16,11,0,67,2026-06-30T17:53:08+00:00,ok,"قیمت لحظه ای دلارتهران دلار فردایی تهران ⏳ 172,500 مـعامله شد ✅ دلار فردایی تهران ⏳ 172,600 خــرید 🔵 دلار فردایی تهران ⏳ 172,800 فروش 🔴",previous_candidate_registry|source_registry
