business_name,website,instagram,telegram,whatsapp_link,city_or_district,country,source_type_guess,rate_page_detected,rate_post_detected,iran_transfer_hint,usd_irr_quote_detected,aed_irr_quote_detected,quote_post_count,parseability_score,last_seen,candidate_score,discovery_origins,status_guess
دلار از ۱۶۵ هزار تومان و درهم از ۴۵ هزار تومان عبور کرد! — ایرانیان امارات,https://iranianuae.ae/business/markets/%D8%AF%D9%84%D8%A7%D8%B1-%D8%A7%D8%B2-%DB%B1%DB%B6%DB%B5-%D9%87%D8%B2%D8%A7%D8%B1-%D8%AA%D9%88%D9%85%D8%A7%D9%86-%D9%88-%D8%AF%D8%B1%D9%87%D9%85-%D8%A7%D8%B2-%DB%B4%DB%B5,https://www.instagram.com/iranianuae.official/,https://t.me/s/iranian_uae,https://wa.me/?text=دلار,Dubai,UAE,remittance_exchange,True,True,True,True,True,5,100,2026-01-29T14:31:50.046665+04:00,100,community,ok
UAE's dollar swap threats show how brittle these US alliances can be,https://responsiblestatecraft.org/uae-dollar-iran-war,https://www.instagram.com/quincyinst/,,,Dubai,UAE,exchange_shop,True,True,True,True,True,5,88,2026-04-25T04:05:01+00:00,100,english,ok
"های امارت| صرافی ایرانی در دبی, نرخ لحظه ای درهم، طلا و نقره",https://hiemarat.com/,https://www.instagram.com/hi.emarat/,https://t.me/s/hiemarat,,Dubai,UAE,exchange_shop,True,True,True,True,True,4,88,۱۴۰۳-۰۱-۳۰\۱۴:۰۶:۴۲,100,manual|persian,ok
در سفر به دبی از این صرافی های معتبر ارز بخرید!,https://eligasht.com/Blog/travelguide/%D8%B5%D8%B1%D8%A7%D9%81%DB%8C-%D9%87%D8%A7%DB%8C-%D8%AF%D8%A8%DB%8C,https://www.instagram.com/eligashtco/,https://t.me/s/eligashtco,https://api.whatsapp.com/send?text=%D8%AF%D8%B1%20%D8%B3%D9%81%D8%B1%20%D8%A8%D9%87%20%D8%AF%D8%A8%DB%8C%20%D8%A7%D8%B2%20%D8%A7%DB%8C%D9%86%20%D8%B5%D8%B1%D8%A7%D9%81%DB%8C%20%D9%87%D8%A7%DB%8C%20%D9%85%D8%B9%D8%AA%D8%A8%D8%B1%20%D8%A7%D8%B1%D8%B2%20%D8%A8%D8%AE%D8%B1%DB%8C%D8%AF%21,Dubai,UAE,exchange_shop,True,True,True,True,True,2,76,2026-02-22T09:10:40+00:00,100,persian,ok
قیمت حواله درهم امارات (دبی),https://javadix.com/aed,https://www.instagram.com/javadix.ex/,https://t.me/s/sarafijavadix,https://wa.me/905545709090,Dubai,UAE,exchange_shop,True,True,True,True,True,2,76,2025-12-02T12:54:45+00:00,100,aed_settlement|manual|persian,ok
تبدیل درهم امارات به دلار آمریکا,https://arzdigital.com/convert/united-arab-emirates-dirham/united-states-dollar,https://www.instagram.com/arzdigital/,https://t.me/s/arzdigitalcom_bot,,Dubai,UAE,exchange_shop,True,True,True,True,True,2,72,2025-04-16T13:52:55+00:00,100,aed_settlement|persian,ok
حواله درهم از امارات و دبی به ایران با کمترین کارمزد - سهل پرداخت,https://sahlpardakht.com/en/Dirham-remittance-from-UAE-to-Iran-with-the-lowest-price,https://www.instagram.com/sahl.pardakht/,,,Dubai,UAE,exchange_shop,True,True,True,True,True,3,72,2026-04-12T19:53:37+02:00,100,aed_settlement|english,ok
صرافی دبی,https://sarafyhafez.com/dubai-exchange,https://www.instagram.com/sarafy_hafez/,https://t.me/s/sarafy_hafez,https://wa.me/989126180963,Dubai,UAE,exchange_shop,True,True,True,True,False,2,64,2026-05-28T06:52:40+00:00,100,persian,ok
قیمت درهم امارات امروز,https://ezdex.net/fiat/price/AED/fa,https://www.instagram.com/ezdex_fa/,https://t.me/s/iranbroker_net,,Dubai,UAE,exchange_shop,True,True,True,True,True,2,64,,100,aed_settlement|manual,ok
حواله به امارات، حواله درهم امارات، حواله دلار دبی,https://ir-europe.com/%D8%AF%D8%B1%D9%87%D9%85-%D8%AD%D9%88%D8%A7%D9%84%D9%87-%D8%A8%D9%87-%D8%A7%D9%85%D8%A7%D8%B1%D8%A7%D8%AA,,https://t.me/s/irxeurope,https://wa.me/+16016914188,Dubai,UAE,exchange_shop,True,True,True,True,True,1,62,2026-03-28T18:33:05+04:30,100,manual,ok
