handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
alanchand_support,https://t.me/s/alanchand_support,,unknown,unclear,False,0,0,False,False,False,,not_crawled
alanchandcom,https://t.me/s/alanchandcom,قیمت دلار، طلا و خودرو - الان چند,unknown,unclear,False,15,0,True,False,True,🔗 @alanchandcom خدمات حواله برای تجار و بازرگانان 00905466534707,ok
altinistanbul,https://t.me/s/altinistanbul,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ariansarafi,https://t.me/s/ariansarafi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
asiatelecom_rates,https://t.me/s/asiatelecom_rates,,unknown,unclear,False,0,0,False,False,False,,not_crawled
avamovie_in,https://t.me/s/avamovie_in,,unknown,unclear,False,0,0,False,False,False,,not_crawled
barisreusifsa0,https://t.me/s/barisreusifsa0,,unknown,unclear,False,0,0,False,False,False,,not_crawled
baxetradepublic,https://t.me/s/baxetradepublic,,unknown,unclear,False,0,0,False,False,False,,not_crawled
bazari_dolaraka,https://t.me/s/bazari_dolaraka,,unknown,unclear,False,0,0,False,False,False,,not_crawled
bit24cash,https://t.me/s/bit24cash,,unknown,unclear,False,0,0,False,False,False,,not_crawled
bonbast_exchange,https://t.me/s/bonbast_exchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
centralbankof_iran,https://t.me/s/centralbankof_iran,,unknown,unclear,False,0,0,False,False,False,,not_crawled
divarfarsihamburg,https://t.me/s/divarfarsihamburg,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ecurrency,https://t.me/s/ecurrency,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ex123ir,https://t.me/s/ex123ir,,unknown,unclear,False,0,0,False,False,False,,not_crawled
exchange_rate,https://t.me/s/exchange_rate,,unknown,unclear,False,0,0,False,False,False,,not_crawled
exchangeratescountries,https://t.me/s/exchangeratescountries,,unknown,unclear,False,0,0,False,False,False,,not_crawled
fardaei_tehran,https://t.me/s/fardaei_tehran,,unknown,unclear,False,0,0,False,False,False,,not_crawled
frankfurt_online,https://t.me/s/frankfurt_online,,unknown,unclear,False,0,0,False,False,False,,not_crawled
generalexchange,https://t.me/s/generalexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
hamburgaction,https://t.me/s/hamburgaction,,unknown,unclear,False,0,0,False,False,False,,not_crawled
hamburgfarsi,https://t.me/s/hamburgfarsi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
hamburgih,https://t.me/s/hamburgih,,unknown,unclear,False,0,0,False,False,False,,not_crawled
irancrypto,https://t.me/s/irancrypto,,unknown,unclear,False,0,0,False,False,False,,not_crawled
irancurrency,https://t.me/s/irancurrency,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranexchange,https://t.me/s/iranexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranian_finance,https://t.me/s/iranian_finance,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranian_in_deutschland,https://t.me/s/iranian_in_deutschland,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranianderivativesmarket,https://t.me/s/iranianderivativesmarket,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranianindeutschlandofficial,https://t.me/s/iranianindeutschlandofficial,,unknown,unclear,False,0,0,False,False,False,,not_crawled
