handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
arianex,https://t.me/s/arianex,Arian Exchange صرافى آرين,Shiraz,unclear,False,4,0,True,True,True,,ok_no_text
bahmaniexchange4,https://t.me/s/bahmaniexchange4,,unknown,unclear,False,0,0,False,False,False,,not_crawled
banehdollar,https://t.me/s/banehdollar,$ بانه دلار $,Tehran,dealer_network_channel,False,51,6,False,False,True,"1404/12/06 ➖ ➖ ➖ ➖ ➖ ➖ دلار بانه نقدی 164,100 🔴 فروش دلار بانه نقدی 163,600 🔵 خرید ➖ ➖ ➖ ➖ ➖ ➖ ➖ دینار عراق 🇮🇶 105 🔴 فروش دینار عراق 🇮🇶 104 🔵 خرید @banehdollar",ok
barakchian_exchange,https://t.me/s/barakchian_exchange,صرافی برکچیان «مشهد»,Mashhad,individual_exchange_shop,True,50,4,True,True,True,موقعیت مکانی ✨ صرافی برکچیان ✨ برای دسترسی راحت تر وارد لینک زیر شوید 👇🏻 👇🏻 https://maps.app.goo.gl/uQs5Ew92eS7xKTa26?g_st=ic ______________________ آدرس: مشهد، خیابان خسروی نو، نبش اندرزگوی ۱۴ 📞 05132227222 ☎️ 05132250169 لیست کامل ارز ها ,ok
bitunixfa,https://t.me/s/bitunixfa,بیت‌یونیکس فارسی | گروه رسمی,unknown,unclear,False,0,0,False,True,True,,ok_no_text
biukgold,https://t.me/s/biukgold,صرافی بیوک,unknown,unclear,False,8,0,True,True,True,ساعت كار : شنبه - چهارشنبه : ٩ : ٣٠الى١٣ : ٣٠ ١٦ : ٠٠الى٢٠ : ٠٠,ok
dollarsprice22,https://t.me/s/dollarsprice22,💵 مظنه ارز 💵,Tehran,dealer_network_channel,False,51,6,False,False,True,"‼️ نرخ ، سکه و طلا در بازار سکه جدید: 203,500 هـ.تومان سکه قدیم: 199,800 هـ.تومان سکه نیم: 104,500 هـ.تومان سکه ربع: 58,800 هـ.تومان سکه گرمی: 29,000 هـ.تومان مثقال طلا: 88,500 هـ.تومان گرم ۱۸ عیار: 20,430 هـ.تومان اونس: 5,191 دلار @dollars",ok
donyaxe,https://t.me/s/donyaxe,Telegram: Contact @donyaxe,unknown,unclear,False,0,0,False,True,True,,ok_no_text
dw_farsi,https://t.me/s/dw_farsi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ex_usdt_iran,https://t.me/s/ex_usdt_iran,,unknown,unclear,False,0,0,False,False,False,,not_crawled
exchangearia,https://t.me/s/exchangearia,Telegram: Contact @exchangearia,unknown,unclear,False,0,0,False,True,True,,ok_no_text
farsivoa,https://t.me/s/farsivoa,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranex_admin,https://t.me/s/iranex_admin,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranex_cc,https://t.me/s/iranex_cc,صرافی ایرانکس |IRANEX.cc,unknown,unclear,False,15,0,True,True,True,⚠️ کاربران گرامی ایرانکس!!! در حال بروزرسانی سایت هستیم لطفا تا پایان بروز رسانی شکیبا باشید. ❗️ به محض اتمام بروزرسانی از همین طریق به شما عزیزان اطلاع رسانی خواهیم کرد. سپاس از شکیبایی شما,ok
iranintltv,https://t.me/s/iranintltv,,unknown,unclear,False,0,0,False,False,False,,not_crawled
irenexchange,https://t.me/s/irenexchange,صرافی ایرن,Tehran,unclear,False,11,0,True,True,True,@irenexchange,ok
irenexchange77225494,https://t.me/s/irenexchange77225494,,unknown,unclear,False,0,0,False,False,False,,not_crawled
jahanarzex,https://t.me/s/jahanarzex,صرافی جهان ارز,unknown,unclear,False,15,0,True,True,True,❌ کاربران گرامی : به دلیل اختلالات سراسری اینترنت، دسترسی به صرافی برای ساعاتی امکانپذیر نمی باشد. ✅ همکاران فنی ما در حال بررسی و رفع هر چه سریعتر این مشکلات هستند. 🌹 با تشکر از صبوری شما,ok
manototv,https://t.me/s/manototv,,unknown,unclear,False,0,0,False,False,False,,not_crawled
mazanehnet,https://t.me/s/mazanehnet,مظنه ارز در بازار تهران,Tehran,individual_exchange_shop,True,95,20,True,False,True,"قیمت لحظه ای ارز امروز : پنج شنبه 14 اسفند 1404 ساعت : 13:31 قیمت دلار 🔵 153,950 بدون تغییر قیمت یورو 🟢 179,100 400 تومان افزایش قیمت پوند 🟢 205,750 350 تومان افزایش قیمت درهم 🔵 43,500 بدون تغییر قیمت لیر_ترکیه 🔵 3,500 بدون تغییر قیمت ین_ژا",ok
merajexchange,https://t.me/s/merajexchange,Telegram: Contact @merajexchange,unknown,unclear,False,0,0,False,True,True,,ok_no_text
moneymex,https://t.me/s/moneymex,,unknown,unclear,False,0,0,False,False,False,,not_crawled
moneymexau,https://t.me/s/moneymexau,,unknown,unclear,False,0,0,False,False,False,,not_crawled
