handle,public_url,title,city_guess,channel_type_guess,likely_individual_shop,parseable_score,quote_post_count,has_phone,has_address,has_website,last_seen_text_sample,status
afsharex,https://t.me/s/afsharex,,unknown,unclear,False,0,0,False,False,False,,not_crawled
afsharsarafi,https://t.me/s/afsharsarafi,AfshaRex | صرافی افشار,unknown,market_price_channel,False,84,9,True,False,True,حواله آنلاین دلار استراليا پانزدهم فوریه ۲۰۲۶ - بیست و ششم بهمن ماه ۱۴۰۴ خرید (انتقال به ایران): حواله کمتر از ۳ هزار دلار: ۱۰۲،۰۰۰ تومان حواله بیشتر از ۳ هزار دلار: ۱۰۳،۰۰۰ تومان حواله بالای ۱۰ هزار دلار: ۱۰۴ ،۰۰۰ تومان فروش (انتقال به است,ok
airdrop_kifpool,https://t.me/s/airdrop_kifpool,,unknown,unclear,False,0,0,False,False,False,,not_crawled
alanchandcom,https://t.me/s/alanchandcom,,unknown,unclear,False,0,0,False,False,False,,not_crawled
arianexchang,https://t.me/s/arianexchang,,unknown,unclear,False,0,0,False,False,False,,not_crawled
barakchian_exchange,https://t.me/s/barakchian_exchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
bazar360,https://t.me/s/bazar360,,unknown,unclear,False,0,0,False,False,False,,not_crawled
bit24cash,https://t.me/s/bit24cash,,unknown,unclear,False,0,0,False,False,False,,not_crawled
boonbas,https://t.me/s/boonbas,,unknown,unclear,False,0,0,False,False,False,,not_crawled
centralbankof_iran,https://t.me/s/centralbankof_iran,,unknown,unclear,False,0,0,False,False,False,,not_crawled
elyasiexchange,https://t.me/s/elyasiexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
exchange_rate,https://t.me/s/exchange_rate,,unknown,unclear,False,0,0,False,False,False,,not_crawled
exchangegandi,https://t.me/s/exchangegandi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
exchangepishro,https://t.me/s/exchangepishro,,unknown,unclear,False,0,0,False,False,False,,not_crawled
fanoodiexchange,https://t.me/s/fanoodiexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
fichaland,https://t.me/s/fichaland,,unknown,unclear,False,0,0,False,False,False,,not_crawled
frankfurt_euro,https://t.me/s/frankfurt_euro,,unknown,unclear,False,0,0,False,False,False,,not_crawled
frankfurt_online,https://t.me/s/frankfurt_online,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranbroker_net,https://t.me/s/iranbroker_net,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranbrokercommunity,https://t.me/s/iranbrokercommunity,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranianindeutschlandofficial,https://t.me/s/iranianindeutschlandofficial,,unknown,unclear,False,0,0,False,False,False,,not_crawled
iranischeskonsulatfrankfurt,https://t.me/s/iranischeskonsulatfrankfurt,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ircentralbank,https://t.me/s/ircentralbank,,unknown,unclear,False,0,0,False,False,False,,not_crawled
irxeurope,https://t.me/s/irxeurope,,unknown,unclear,False,0,0,False,False,False,,not_crawled
karimiexchange,https://t.me/s/karimiexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
kifpool_coins,https://t.me/s/kifpool_coins,,unknown,unclear,False,0,0,False,False,False,,not_crawled
kifpoolme,https://t.me/s/kifpoolme,,unknown,unclear,False,0,0,False,False,False,,not_crawled
kronexchange,https://t.me/s/kronexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
lir_city,https://t.me/s/lir_city,,unknown,unclear,False,0,0,False,False,False,,not_crawled
mazanehnet,https://t.me/s/mazanehnet,,unknown,unclear,False,0,0,False,False,False,,not_crawled
mellalex,https://t.me/s/mellalex,,unknown,unclear,False,0,0,False,False,False,,not_crawled
navasanchannel,https://t.me/s/navasanchannel,,unknown,unclear,False,0,0,False,False,False,,not_crawled
nerkhyabkhorasanmarket,https://t.me/s/nerkhyabkhorasanmarket,,unknown,unclear,False,0,0,False,False,False,,not_crawled
notchangeofficial,https://t.me/s/notchangeofficial,,unknown,unclear,False,0,0,False,False,False,,not_crawled
parsiansarafi,https://t.me/s/parsiansarafi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
persepolissarafi,https://t.me/s/persepolissarafi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
qheimat_dolar_sabze,https://t.me/s/qheimat_dolar_sabze,,unknown,unclear,False,0,0,False,False,False,,not_crawled
royal_rate,https://t.me/s/royal_rate,,unknown,unclear,False,0,0,False,False,False,,not_crawled
samaniexchange,https://t.me/s/samaniexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafha_rate,https://t.me/s/sarafha_rate,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafi_ah,https://t.me/s/sarafi_ah,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafibahmani,https://t.me/s/sarafibahmani,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafirasam,https://t.me/s/sarafirasam,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarafisanieh,https://t.me/s/sarafisanieh,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sarrafifsi,https://t.me/s/sarrafifsi,,unknown,unclear,False,0,0,False,False,False,,not_crawled
sh_ex,https://t.me/s/sh_ex,,unknown,unclear,False,0,0,False,False,False,,not_crawled
soleimaniex,https://t.me/s/soleimaniex,,unknown,unclear,False,0,0,False,False,False,,not_crawled
soroush_ex86,https://t.me/s/soroush_ex86,,unknown,unclear,False,0,0,False,False,False,,not_crawled
swap_kifpool,https://t.me/s/swap_kifpool,,unknown,unclear,False,0,0,False,False,False,,not_crawled
tabdealplatform,https://t.me/s/tabdealplatform,,unknown,unclear,False,0,0,False,False,False,,not_crawled
tabriz_miner,https://t.me/s/tabriz_miner,,unknown,unclear,False,0,0,False,False,False,,not_crawled
ttprice,https://t.me/s/ttprice,,unknown,unclear,False,0,0,False,False,False,,not_crawled
uniqueonlineexchange,https://t.me/s/uniqueonlineexchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
zafareh_exchange,https://t.me/s/zafareh_exchange,,unknown,unclear,False,0,0,False,False,False,,not_crawled
